network,model,method,n,runtime_mean,runtime_std,max_rel_err_mean,mean_rel_err_mean,n_runs
gnp_undirected_p0.05,cm_exp,fixed-point,50,0.04212319999933243,0.0007499419664209627,0.7462843092029284,0.6673741034132064,5
gnp_undirected_p0.05,cm_exp,fixed-point,100,0.0015907399822026492,2.243287950247689e-05,2.8831384168981344e-09,2.6277992785430178e-09,5
gnp_undirected_p0.05,cm_exp,fixed-point,200,0.0019150000298395753,3.851144775942481e-05,2.1841134012490217e-09,1.980746807341946e-09,5
gnp_undirected_p0.05,cm_exp,fixed-point,500,0.00330786001868546,6.260274863274723e-05,1.5952259957430215e-09,1.4923838752298426e-09,5
gnp_undirected_p0.05,cm_exp,fixed-point,1000,0.005302859959192574,8.108375120889234e-05,1.3744494016994698e-09,1.317249514078207e-09,5
gnp_undirected_p0.05,cm_exp,fixed-point,2000,0.012159459991380572,0.0004390105098804668,1.1353062129695688e-09,1.0983748663423862e-09,5
gnp_undirected_p0.05,cm_exp,newton,50,0.0038312800228595735,0.00018057358016198254,1.0249173361861114e-10,4.2812678160137934e-11,5
gnp_undirected_p0.05,cm_exp,newton,100,0.002441179985180497,0.00018872642684815213,1.5446500398752508e-08,5.179052508093946e-09,5
gnp_undirected_p0.05,cm_exp,newton,200,0.002379699982702732,0.00015778043799767992,5.7539051105699704e-09,1.3449989734430857e-09,5
gnp_undirected_p0.05,cm_exp,newton,500,0.0027132800314575434,0.00012659977515938202,8.872766539201708e-08,1.659628532086319e-08,5
gnp_undirected_p0.05,cm_exp,newton,1000,0.0044479199917986986,0.0003444144526548853,7.178333676363868e-08,1.6235499542740602e-08,5
gnp_undirected_p0.05,cm_exp,newton,2000,0.010854359972290695,0.0006363878119419311,4.305675496574302e-08,3.4446425592837146e-09,5
gnp_undirected_p0.05,cm_exp,quasinewton,50,0.016224859980866313,0.0017898011884482834,1.637382895935957e-10,1.4893047023577222e-10,5
gnp_undirected_p0.05,cm_exp,quasinewton,100,0.01404374004341662,0.0014300693713679064,1.1022157031526091e-08,1.0046000997009416e-08,5
gnp_undirected_p0.05,cm_exp,quasinewton,200,0.014482419984415174,0.0025615745374459858,6.102000860153112e-09,5.533833745533427e-09,5
gnp_undirected_p0.05,cm_exp,quasinewton,500,0.01801430000923574,0.0026611898636709507,6.095917477466628e-09,5.702920094705365e-09,5
gnp_undirected_p0.05,cm_exp,quasinewton,1000,0.021074260002933443,0.0032994915576972017,8.216138667194173e-09,7.874219779387412e-09,5
gnp_undirected_p0.05,cm_exp,quasinewton,2000,0.02868898001033813,0.005773468160816863,1.0314012832207916e-08,9.978461553567225e-09,5
karate_club,cm_exp,fixed-point,34,0.08189197999890893,0.18170200340934076,4.007539147591267e-09,1.2298287345988471e-09,5
karate_club,cm_exp,newton,34,0.4006834000116214,0.8907770297567342,3.8615255970597674e-08,1.0887131834984817e-08,5
karate_club,cm_exp,quasinewton,34,0.04985696000512689,0.09255265674203937,2.2457198161205002e-08,6.890421784208854e-09,5
les_miserables,cm_exp,fixed-point,77,0.0006123799830675125,2.9582497362266598e-05,4.77856253332397e-09,5.355137378879454e-10,5
les_miserables,cm_exp,newton,77,0.002178819989785552,0.0001761592268090025,1.2862894673202975e-08,2.082559578117662e-09,5
les_miserables,cm_exp,quasinewton,77,0.005444240034557879,0.0008543047768969664,6.197127638706157e-08,1.5582893716156686e-08,5
